0,4,17,13,6,5,2,10,13,16,14,13,17,12,17,15,13,6,8,11,13,12,13,8,15,13,17,7,19,1,14,6,15,17,10,6,4,16,12,19,12,1,16,8,15,10,10,12,13,1
4,0,14,10,19,25,9,13,22,11,16,11,13,17,10,17,8,13,10,13,17,9,27,7,18,19,16,13,12,16,4,13,28,27,21,11,12,16,8,13,16,15,16,22,4,16,10,17,26,3
10,14,0,12,19,15,8,13,11,11,12,6,11,16,11,21,7,19,17,17,5,7,24,8,19,21,16,12,13,9,18,14,13,12,9,14,15,12,8,14,10,17,17,9,10,16,10,18,4,15
13,10,12,0,11,10,11,15,18,11,10,16,7,10,15,16,11,11,13,18,17,11,19,12,15,18,18,15,17,22,19,23,20,26,3,20,22,18,10,18,20,21,17,20,6,18,12,19,15,19
6,14,16,11,0,1,11,17,9,16,14,14,13,8,13,13,9,2,4,11,14,14,10,10,18,9,20,17,15,10,10,15,11,17,15,8,7,12,13,16,11,10,16,14,11,16,14,10,16,17
5,9,15,10,1,0,7,13,8,13,13,13,12,7,12,12,8,1,3,12,15,11,9,9,15,8,18,12,14,6,9,11,10,16,13,9,8,11,10,15,10,6,17,13,10,15,12,9,14,6
2,9,8,11,11,11,0,8,16,6,14,14,8,18,10,13,15,12,14,11,9,4,20,6,14,13,11,8,8,1,16,6,16,17,16,6,7,4,3,16,10,10,16,12,5,11,5,12,7,16
9,15,16,19,12,18,8,0,22,13,12,13,16,22,17,21,15,20,13,9,17,12,20,14,13,12,19,6,9,9,18,14,24,15,14,4,5,12,5,8,10,8,11,15,13,9,3,10,15,21
14,15,11,17,20,8,10,12,0,10,12,5,11,24,11,23,7,20,5,9,14,6,25,8,19,20,15,12,13,25,11,14,12,15,20,14,13,12,7,14,10,13,17,7,18,9,9,17,12,15
17,11,13,11,23,16,6,8,14,0,13,13,4,27,10,9,8,17,14,12,21,4,24,6,10,24,11,8,14,24,19,12,24,1,16,13,21,15,3,15,18,21,12,21,26,11,5,27,26,16
11,13,12,10,14,13,12,14,12,12,0,10,9,7,9,27,5,24,18,11,18,10,22,6,17,14,17,14,11,23,16,23,19,29,7,8,7,15,9,12,15,10,15,17,20,17,11,24,20,13
12,10,6,12,22,13,5,7,5,5,17,0,7,22,7,24,5,22,10,11,9,1,22,4,15,21,10,7,9,15,14,18,16,16,15,11,17,13,2,10,5,18,13,11,16,10,4,12,7,11
13,12,11,7,18,12,8,10,11,4,9,9,0,17,8,9,4,13,17,14,16,6,20,5,8,20,13,10,10,19,15,16,22,5,10,15,18,11,5,11,12,21,10,17,13,13,7,19,14,12
12,16,16,10,8,7,14,19,15,19,7,17,16,0,12,19,12,8,10,16,11,17,16,13,20,15,24,19,18,13,16,18,12,21,7,15,14,18,16,19,17,13,22,18,13,22,18,16,13,13
11,10,16,16,18,17,9,11,23,9,19,7,11,12,0,21,4,18,18,15,15,7,26,3,13,23,14,11,8,20,13,20,24,27,19,15,16,11,6,9,12,19,11,18,13,14,8,21,23,10
15,17,20,20,21,12,13,17,23,9,22,14,9,27,14,0,16,11,22,13,21,13,19,15,1,18,12,17,16,14,25,19,15,10,23,19,12,17,12,6,17,20,3,20,18,20,14,22,19,14
9,8,7,11,9,8,7,9,7,7,5,5,4,12,4,13,0,9,11,13,12,5,17,1,12,16,12,9,6,14,11,18,18,9,12,13,12,10,4,7,10,14,10,14,17,12,6,17,11,8
6,10,16,11,2,1,8,14,9,14,14,13,13,8,13,11,9,0,4,13,16,12,8,10,12,7,19,13,15,7,10,12,11,15,14,10,9,12,11,16,11,7,14,13,9,15,13,10,15,7
8,10,16,13,4,3,10,13,5,14,16,10,15,10,15,15,11,4,0,14,17,11,12,12,16,11,20,13,17,9,6,14,7,13,16,12,11,14,12,16,7,8,18,10,13,12,10,12,15,9
8,13,19,18,11,17,12,14,9,12,11,14,14,16,16,28,16,18,14,0,14,10,19,12,12,11,17,14,22,16,17,21,21,20,21,5,4,21,9,13,17,7,10,14,17,14,11,17,16,16
13,17,5,17,14,15,9,17,16,16,17,11,16,11,15,25,12,16,18,14,0,8,22,12,14,20,16,12,10,14,13,19,11,17,14,14,13,17,13,9,15,12,12,7,15,16,15,21,2,19
12,9,7,11,15,14,4,6,6,4,11,1,6,18,8,17,6,15,11,10,8,0,23,4,16,20,9,6,10,13,15,17,15,13,14,10,13,14,1,11,4,13,14,10,17,9,3,11,6,12
12,21,24,27,10,23,24,26,22,20,15,22,20,28,26,29,22,8,19,12,21,22,0,23,19,1,13,26,24,13,17,8,29,19,29,9,8,21,21,20,21,11,17,15,25,17,23,22,20,18
8,7,8,12,10,9,6,8,8,6,6,4,5,13,3,14,1,10,12,12,12,4,18,0,11,17,11,8,5,15,10,17,19,10,13,12,13,9,3,6,9,15,9,15,11,11,5,16,11,7
15,18,19,15,14,13,14,15,19,10,17,15,8,20,13,1,12,12,16,12,16,14,20,13,0,19,11,18,8,14,17,19,14,11,18,14,11,18,13,5,18,16,2,19,19,21,15,21,20,15
11,17,23,18,9,8,15,14,16,19,14,20,20,15,20,18,16,7,11,11,20,19,1,17,18,0,14,20,22,12,16,7,18,18,21,8,7,19,18,19,16,10,16,14,16,16,20,16,19,14
22,16,18,18,23,19,11,13,20,11,23,16,13,29,15,29,20,21,20,17,16,9,13,11,11,14,0,13,12,16,20,11,23,22,21,18,18,8,8,12,19,24,9,18,28,16,10,26,14,21
